Miti Chiva Kaset Station,"
232/2 Soi Kaset-Nawamin, Khwaeng Sena Nikhom, Khet Chatuchak
","27,35,12,28,–,27.77,27.77,28,28,35,36,29,26,27.77,35,28,24","15,000,27,000,17,000,22,000,17,000,17,000,17,000,17,000,17,000,21,889,21,000,16,000,17,000,15,900,17,000,17,000,12,000"
Maxxi Condo,"
1428 Soi Phahonyothin, Khwaeng Sena Nikhom, Khet Chatuchak
","24,30,26.58,24,30,30,23,30,31,24,33,30.16,–,27","9,500,11,000,10,000,9,500,14,500,12,000,8,500,11,000,11,000,8,500,12,000,15,000,15,000,8,000"
MODIZ LADPRAO 18,"
31 Soi Net Prasom, Khwaeng Chom Phon, Khet Chatuchak
","33,27","12,000,10,000"
Metro Luxe Kaset,"
Thanon Prasert-Manukitch, Khwaeng Sena Nikhom, Khet Chatuchak
","33.8,30,29,28,32,29,28.8,28,33,32,33,25,32,33.45,32,28,35,28,32.68,30.52","10,500,9,000,10,000,9,000,9,500,11,500,10,000,9,000,12,500,14,000,11,000,8,000,10,000,10,000,14,000,12,500,12,000,8,800,15,000,10,000"
Maru Ladprao 15,"
799 Thanon Lat Phrao, Khwaeng Chom Phon, Khet Chatuchak
",,
M Ladprao,"
Phahonyothin Road, Khwaeng Chatuchak, Khet Chatuchak
","35,60,36,38,35,38,38,36.88,31,38,40,38,38,38,38,39.78,38,37,38,38","24,000,40,000,18,500,25,000,24,000,25,000,23,000,20,000,20,000,25,000,25,000,22,000,22,000,23,000,23,000,19,000,25,000,17,000,21,000,22,25k"
M Jatujak,"
Phahonyothin Road, Khwaeng Chatuchak, Khet Chatuchak
","49,32.13,31,32.49,32,32,55,28.16,55,32,31,32,32,33,28,28,56,32,32.5,26","29,000,18,000,17,000,17,000,17,000,19,000,36,000,16,000,36,000,20,000,17,000,19,000,19,000,18,000,18,000,18,000,32,000,18,000,19,000,15,000"
Lucky Star Condo,"
Soi Ratchadaphisek 36 Yaek 19-8, Chan Kasem, Chatuchak, Bangkok 10900
",,
Lumpini Place Ratchayothin,"
Phahonyothin Road, Khwaeng Lat Yao, Khet Chatuchak
","58,56.06,28.5,28,28.5,30,28.5,28,28.55,32,28.5,28,28,28,28,28,30,28,28,28,28.5","18,000,22,000,8,500,9,500,9,500,12k,9,500,9,500,11,000,9,000,11,000,8,500,9,500,11,000,11,000,11,000,11,000,9,500,8,500,9,000,10,000"
Lumpini Park Vibhavadi - Chatuchak,"
7 Soi Vibhavadi Rangsit 3, Khwaeng Chom Phon, Khet Chatuchak
","24.25,28.58,25,29,25,24.25,24.25,29,28.5,25,24.2,24.5,28.5,30,24,24.29,24.2,40,28,29","12,500,13,000,9,500,15,000,11,000,12,000,13,000,15,000,14,000,12,000,11,500,11,000,14,000,16,000,11,000,11,000,11,500,13,000,14,000,15,000"
Life Ladprao Valley,"
1160/2 Lat Phrao Rd, Khwaeng Chom Phon, Khet Chatuchak
",,
Life Ladprao,"
386 Thanon Lat Phrao, Khwaeng Chom Phon, Khet Chatuchak
","66,41.7,32,26.5,40,41.39,29.31,62.03,34.43,40.59,34.33,36,30,37","30,000,14,000,16,000,17,500,15,000,14,500,16,000,20,000,11,000,15,000,12,000,16,000,15,000,16,000"
Levo Ladprao 18 Project 2,"
Soi Net Prasom, Chom Phon, Chatuchak, Bangkok 10900
",26,"15,000"
